Date,a,ticket
2016-04-07,0.8588,GOOGL
2016-04-07,0,GOOGL
2016-04-07,0.0258,GOOGL
2016-03-29,0,GOOGL
2016-03-29,0,GOOGL
2016-03-18,0.743,GOOGL
2016-03-17,-0.0516,GOOGL
2016-03-17,0,GOOGL
2016-03-17,0,GOOGL
2016-03-15,0,GOOGL
2016-03-14,0.6808,GOOGL
2016-03-10,0.2263,GOOGL
2016-03-07,0.7269,GOOGL
2016-03-04,0.3818,GOOGL
2016-03-04,0.4215,GOOGL
2016-03-04,0,GOOGL
2016-03-03,0,GOOGL
2016-02-19,0.5106,GOOGL
2016-02-12,0,GOOGL
2016-02-11,0.1779,GOOGL
2016-02-11,0.2263,GOOGL
2016-02-11,0.2263,GOOGL
2016-02-11,0,GOOGL
2016-02-10,0.9081,GOOGL
2016-02-10,-0.2263,GOOGL
2016-02-10,0.9081,GOOGL
2016-02-09,-0.1779,GOOGL
2016-02-09,-0.1779,GOOGL
2016-02-08,-0.128,GOOGL
2016-02-08,-0.2732,GOOGL
2016-02-04,0.4404,GOOGL
2016-02-03,-0.0516,GOOGL
2016-02-03,-0.5267,GOOGL
2016-02-02,0.9216,GOOGL
2016-02-02,0.3818,GOOGL
2016-02-02,0.8718,GOOGL
2016-02-02,0.2023,GOOGL
2016-02-02,0.9216,GOOGL
2016-02-01,0.8718,GOOGL
2016-02-01,0.7003,GOOGL
2016-02-01,0.4767,GOOGL
2016-01-29,0.7906,GOOGL
2016-01-29,-0.6249,GOOGL
2016-01-29,0.7906,GOOGL
2016-01-28,0,GOOGL
2016-01-28,0.0258,GOOGL
2016-01-28,0.0258,GOOGL
2016-01-27,0.34,GOOGL
2016-01-27,0.743,GOOGL
2016-01-27,0.1779,GOOGL
2016-01-27,0.1779,GOOGL
2016-01-27,0.1779,GOOGL
2016-01-27,0.743,GOOGL
2016-01-27,0.34,GOOGL
2016-01-26,0.3182,GOOGL
2016-01-26,-0.296,GOOGL
2016-01-25,0.4404,GOOGL
2016-01-23,0.128,GOOGL
2016-01-22,-0.128,GOOGL
2016-01-20,0.4588,GOOGL
2016-01-12,0,GOOGL
2016-01-12,-0.25,GOOGL
2015-12-22,0.6369,GOOGL
2015-12-16,0,GOOGL
2015-12-16,0,GOOGL
2015-12-16,0,GOOGL
2015-12-11,0,GOOGL
2015-12-11,0,GOOGL
2015-12-10,0.6115,GOOGL
2015-12-08,0,GOOGL
2015-12-08,0,GOOGL
2015-12-08,0,GOOGL
2015-12-07,0,GOOGL
2015-12-07,0,GOOGL
2015-12-03,0,GOOGL
2015-12-01,-0.1779,GOOGL
2015-12-01,-0.1779,GOOGL
2015-12-01,-0.6124,GOOGL
2015-11-30,-0.2732,GOOGL
2015-11-29,-0.2732,GOOGL
2015-11-27,-0.4767,GOOGL
2015-11-20,0.6369,GOOGL
2015-11-20,0.6369,GOOGL
2015-11-20,0,GOOGL
2015-11-20,0,GOOGL
2015-11-19,0.6808,GOOGL
2015-11-19,0.6808,GOOGL
2015-11-19,0,GOOGL
2015-11-17,-0.7003,GOOGL
2015-11-17,0.6908,GOOGL
2015-11-17,0.6908,GOOGL
2015-11-17,-0.7003,GOOGL
2015-11-17,-0.7003,GOOGL
2015-11-17,-0.7003,GOOGL
2015-11-13,0,GOOGL
2015-11-13,0,GOOGL
2015-11-10,-0.1779,GOOGL
2015-11-10,-0.1779,GOOGL
2015-11-10,-0.1779,GOOGL
2015-11-09,0.4019,GOOGL
2015-11-09,0.4019,GOOGL
2015-11-04,-0.4588,GOOGL
2015-11-04,-0.4588,GOOGL
2015-11-04,-0.4588,GOOGL
2015-11-04,0.4215,GOOGL
2015-11-03,0,GOOGL
2015-11-03,0,GOOGL
2015-11-03,0,GOOGL
2015-11-03,0,GOOGL
2015-11-03,0,GOOGL
2015-11-02,0,GOOGL
2015-10-31,-0.2263,GOOGL
2015-10-31,-0.2263,GOOGL
2015-10-30,-0.2263,GOOGL
2015-10-29,0.3182,GOOGL
2015-10-29,0.3182,GOOGL
2015-10-26,0.1779,GOOGL
2015-10-23,0.296,GOOGL
2015-10-23,0.8176,GOOGL
2015-10-23,0.8176,GOOGL
2015-10-23,0.8176,GOOGL
2015-10-22,0.6249,GOOGL
2015-10-22,0.6249,GOOGL
2015-10-22,0.7003,GOOGL
2015-10-20,0.6808,GOOGL
2015-10-20,0.6808,GOOGL
2015-10-20,0.4767,GOOGL
2015-10-19,-0.296,GOOGL
2015-10-19,0.6597,GOOGL
2015-10-19,0.6597,GOOGL
2015-10-16,-0.4717,GOOGL
2015-10-16,-0.4717,GOOGL
2015-10-14,0,GOOGL
2015-10-14,0.7783,GOOGL
2015-10-09,-0.1779,GOOGL
2015-10-09,-0.1779,GOOGL
2015-10-09,-0.34,GOOGL
2015-10-09,0.4767,GOOGL
2015-10-07,0,GOOGL
2015-10-07,0,GOOGL
2015-10-05,-0.6249,GOOGL
2015-10-05,-0.6249,GOOGL
2015-10-05,0.4019,GOOGL
2015-10-05,0,GOOGL
2015-10-05,0.5719,GOOGL
2015-10-05,0.5719,GOOGL
2015-10-05,0.5719,GOOGL
2015-10-05,0.296,GOOGL
2015-10-05,0.296,GOOGL
2015-10-03,0,GOOGL
2015-10-02,0,GOOGL
2015-10-02,0,GOOGL
2015-10-02,0,GOOGL
2015-10-02,0,GOOGL
2015-10-01,0.4767,GOOGL
2015-09-30,-0.5574,GOOGL
2015-09-30,-0.5574,GOOGL
2015-09-30,-0.4215,GOOGL
2015-09-29,0.296,GOOGL
2015-09-29,0.296,GOOGL
2015-09-29,0.296,GOOGL
2015-09-29,0,GOOGL
2015-09-28,0.2023,GOOGL
2015-09-25,-0.1027,GOOGL
2015-09-25,-0.1027,GOOGL
2015-09-25,-0.1027,GOOGL
2015-09-25,-0.1027,GOOGL
2015-09-25,0.0258,GOOGL
2015-09-25,-0.6124,GOOGL
2015-09-21,0.3612,GOOGL
2015-09-21,-0.6249,GOOGL
2015-09-21,-0.6249,GOOGL
2015-09-15,0,GOOGL
2015-09-15,0,GOOGL
2015-09-15,0.296,GOOGL
2015-09-15,0.296,GOOGL
2015-09-14,-0.3612,GOOGL
2015-09-14,-0.3612,GOOGL
2015-09-14,-0.3612,GOOGL
2015-09-14,0,GOOGL
2015-09-14,-0.4939,GOOGL
2015-09-14,0.743,GOOGL
2015-09-14,0,GOOGL
2015-09-10,0.34,GOOGL
2015-09-10,0.34,GOOGL
2015-09-10,0.0516,GOOGL
2015-09-10,0.0516,GOOGL
2015-09-10,0.0516,GOOGL
2015-09-04,0,GOOGL
2015-09-04,0,GOOGL
2015-09-04,0,GOOGL
2015-09-01,0,GOOGL
2015-09-01,0,GOOGL
2015-09-01,-0.25,GOOGL
2015-09-01,-0.25,GOOGL
2015-09-01,-0.25,GOOGL
2015-08-31,0.4404,GOOGL
2015-08-31,0.4404,GOOGL
2015-08-28,0.5994,GOOGL
2015-08-28,0.6249,GOOGL
2015-08-28,0.6249,GOOGL
2015-08-28,0.6249,GOOGL
2015-08-28,0.5994,GOOGL
2015-08-27,-0.8779,GOOGL
2015-08-27,-0.8779,GOOGL
2015-08-27,-0.8779,GOOGL
2015-08-27,-0.8779,GOOGL
2015-08-21,-0.2755,GOOGL
2015-08-21,-0.2755,GOOGL
2015-08-18,0.4588,GOOGL
2015-08-18,0.4588,GOOGL
2015-08-17,0,GOOGL
2015-08-17,0.25,GOOGL
2015-08-17,0.296,GOOGL
2015-08-13,-0.0572,GOOGL
2015-08-13,0,GOOGL
2015-08-13,0,GOOGL
2015-08-13,-0.0534,GOOGL
2015-08-13,-0.0534,GOOGL
2015-08-13,-0.5106,GOOGL
2015-08-13,0.296,GOOGL
2015-08-13,0.128,GOOGL
2015-08-13,0,GOOGL
2015-08-12,0.7506,GOOGL
2015-08-12,0.7506,GOOGL
2015-08-12,0.7506,GOOGL
2015-08-12,0.7506,GOOGL
2015-08-11,0.765,GOOGL
2015-08-11,0.7003,GOOGL
2015-08-11,0.765,GOOGL
2015-08-11,0.765,GOOGL
2015-08-11,0.765,GOOGL
2015-08-11,0,GOOGL
2015-08-11,0,GOOGL
2015-08-11,0,GOOGL
2015-08-11,-0.1655,GOOGL
2015-08-11,0,GOOGL
2015-08-10,0.5719,GOOGL
2015-08-10,0.5719,GOOGL
2015-08-10,0.5719,GOOGL
2015-08-10,0.8442,GOOGL
2015-08-10,0,GOOGL
2015-08-10,0.0772,GOOGL
2015-08-07,0.4754,GOOGL
2015-08-07,0.4754,GOOGL
2015-08-06,0.4588,GOOGL
2015-08-06,0.4588,GOOGL
2015-08-06,0.4588,GOOGL
2015-08-04,0,GOOGL
2015-07-31,0,GOOGL
2015-07-31,-0.6908,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-30,0.7717,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-30,-0.6908,GOOGL
2015-07-30,0,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-30,-0.2732,GOOGL
2015-07-29,0.25,GOOGL
2015-07-29,0.25,GOOGL
2015-07-27,0.7096,GOOGL
2015-07-24,0,GOOGL
2015-07-24,0,GOOGL
2015-07-23,-0.0258,GOOGL
2015-07-23,-0.0258,GOOGL
2015-07-23,-0.0258,GOOGL
2015-07-22,0.296,GOOGL
2015-07-22,0.296,GOOGL
2015-07-20,0.5187,GOOGL
2015-07-20,0.1779,GOOGL
2015-07-20,0.0258,GOOGL
2015-07-19,0.7184,GOOGL
2015-07-18,0.7184,GOOGL
2015-07-17,-0.2732,GOOGL
2015-07-17,0.7184,GOOGL
2015-07-17,0.8934,GOOGL
2015-07-17,0,GOOGL
2015-07-17,0,GOOGL
2015-07-17,0.3612,GOOGL
2015-07-17,0,GOOGL
2015-07-17,-0.7003,GOOGL
2015-07-17,0,GOOGL
2015-07-17,0.6249,GOOGL
2015-07-16,-0.34,GOOGL
2015-07-16,-0.34,GOOGL
2015-07-16,0.872,GOOGL
2015-07-16,0.743,GOOGL
2015-07-16,0,GOOGL
2015-07-16,-0.0408,GOOGL
2015-07-16,-0.0408,GOOGL
2015-07-16,-0.0408,GOOGL
2015-07-16,0.128,GOOGL
2015-07-08,0.1027,GOOGL
2015-07-07,0,GOOGL
2015-07-06,0,GOOGL
2015-07-06,0.2023,GOOGL
2015-07-06,-0.1027,GOOGL
2015-07-01,0.2023,GOOGL
2015-07-01,0.2023,GOOGL
2015-07-01,-0.5216,GOOGL
2015-07-01,0,GOOGL
2015-06-30,0,GOOGL
2015-06-30,0.5859,GOOGL
2015-06-30,0.5859,GOOGL
2015-06-30,0.1027,GOOGL
2015-06-30,0,GOOGL
2015-06-30,0.4939,GOOGL
2015-06-29,0.0772,GOOGL
2015-06-29,0.4939,GOOGL
2015-06-29,0,GOOGL
2015-06-29,0.8316,GOOGL
2015-06-29,-0.5106,GOOGL
2015-06-29,-0.5106,GOOGL
2015-06-29,0.8316,GOOGL
2015-06-29,0.8316,GOOGL
2015-06-29,0.743,GOOGL
2015-06-27,0,GOOGL
2015-06-27,0,GOOGL
2015-06-26,0.4404,GOOGL
2015-06-26,0,GOOGL
2015-06-26,0,GOOGL
2015-06-25,0.4404,GOOGL
2015-06-25,0,GOOGL
2015-06-25,0.4404,GOOGL
2015-06-25,0.4404,GOOGL
2015-06-25,0.2732,GOOGL
2015-06-25,0.5574,GOOGL
2015-06-24,0.743,GOOGL
2015-06-24,0.743,GOOGL
2015-06-23,0.4588,GOOGL
2015-06-23,0.4588,GOOGL
2015-06-23,0.2944,GOOGL
2015-06-23,0.1761,GOOGL
2015-06-22,0.0772,GOOGL
2015-06-22,0.0772,GOOGL
2015-06-19,0.2023,GOOGL
2015-06-18,0,GOOGL
2015-06-18,0.2732,GOOGL
2015-06-18,0.2732,GOOGL
2015-06-18,-0.6597,GOOGL
2015-06-18,-0.6597,GOOGL
2015-06-18,-0.6597,GOOGL
2015-06-18,0.0258,GOOGL
2015-06-18,0.0258,GOOGL
2015-06-18,0.3182,GOOGL
2015-06-16,-0.0516,GOOGL
2015-06-16,-0.0516,GOOGL
2015-06-16,0,GOOGL
2015-06-16,0,GOOGL
2015-06-15,0.4404,GOOGL
2015-06-15,0.4404,GOOGL
2015-06-12,0.296,GOOGL
2015-06-12,0,GOOGL
2015-06-12,0.1531,GOOGL
2015-06-12,0.2023,GOOGL
2015-06-12,0.2023,GOOGL
2015-06-12,0,GOOGL
2015-06-11,0.1531,GOOGL
2015-06-09,0,GOOGL
2015-06-08,0.3612,GOOGL
2015-06-08,0.3612,GOOGL
2015-06-08,0.4404,GOOGL
2015-06-08,0.4215,GOOGL
2015-06-06,-0.6597,GOOGL
2015-06-06,-0.3182,GOOGL
2015-06-06,-0.3182,GOOGL
2015-06-05,0.5423,GOOGL
2015-06-05,0.6486,GOOGL
2015-06-05,0.6486,GOOGL
2015-06-05,0.6486,GOOGL
2015-06-03,-0.1586,GOOGL
2015-06-03,-0.1586,GOOGL
2015-06-03,0.4019,GOOGL
2015-06-02,-0.8591,GOOGL
2015-06-02,-0.8591,GOOGL
2015-06-02,-0.8591,GOOGL
2015-06-02,0.4019,GOOGL
2015-06-02,0.4019,GOOGL
2015-06-02,0,GOOGL
2015-06-02,0,GOOGL
2015-06-02,0.2023,GOOGL
2015-06-02,0.2023,GOOGL
2015-06-02,0.3612,GOOGL
2015-06-01,0.6124,GOOGL
2015-06-01,0.6124,GOOGL
2015-06-01,-0.34,GOOGL
2015-06-01,0.7845,GOOGL
2015-06-01,0.7845,GOOGL
2015-06-01,0.4939,GOOGL
2015-05-29,0.2732,GOOGL
2015-05-29,0,GOOGL
2015-05-29,0,GOOGL
2015-05-29,0.4019,GOOGL
2015-05-29,0,GOOGL
2015-05-29,0.3612,GOOGL
2015-05-28,0,GOOGL
2015-05-28,0.296,GOOGL
2015-05-28,0,GOOGL
2015-05-26,0.5574,GOOGL
2015-05-26,0.5574,GOOGL
2015-05-26,0.5574,GOOGL
2015-05-26,0.5574,GOOGL
2015-05-26,0.5106,GOOGL
2015-05-24,0,GOOGL
2015-05-21,-0.8442,GOOGL
2015-05-21,-0.8442,GOOGL
2015-05-20,0.2263,GOOGL
2015-05-19,0,GOOGL
2015-05-18,-0.6705,GOOGL
2015-05-18,0.4019,GOOGL
2015-05-18,-0.296,GOOGL
2015-05-16,0,GOOGL
2015-05-15,0,GOOGL
2015-05-15,0,GOOGL
2015-05-15,0.4215,GOOGL
2015-05-15,0.4215,GOOGL
2015-05-15,0.4215,GOOGL
2015-05-15,0,GOOGL
2015-05-15,0.4215,GOOGL
2015-05-15,0.4215,GOOGL
2015-05-06,0.4019,GOOGL
2015-05-05,-0.4215,GOOGL
2015-05-05,0.3167,GOOGL
2015-05-05,-0.5106,GOOGL
2015-05-05,-0.5106,GOOGL
2015-04-30,0.6486,GOOGL
2015-04-29,0.6486,GOOGL
2015-04-29,0.6486,GOOGL
2015-04-29,0.7096,GOOGL
2015-04-29,0.4019,GOOGL
2015-04-29,0.1531,GOOGL
2015-04-29,0.1531,GOOGL
2015-04-28,0.3869,GOOGL
2015-04-27,0.4019,GOOGL
2015-04-27,0.4019,GOOGL
2015-04-27,0.128,GOOGL
2015-04-25,-0.8689,GOOGL
2015-04-25,-0.8689,GOOGL
2015-04-24,0.6124,GOOGL
2015-04-24,0,GOOGL
2015-04-24,0.4404,GOOGL
2015-04-24,0.4404,GOOGL
2015-04-24,0.3182,GOOGL
2015-04-24,0.4404,GOOGL
2015-04-24,0.4404,GOOGL
2015-04-24,0.296,GOOGL
2015-04-24,-0.5574,GOOGL
2015-04-24,0.7096,GOOGL
2015-04-23,0.8126,GOOGL
2015-04-23,0.3182,GOOGL
2015-04-23,0.8176,GOOGL
2015-04-23,0.3182,GOOGL
2015-04-23,0.296,GOOGL
2015-04-23,0.296,GOOGL
2015-04-23,0,GOOGL
2015-04-22,-0.1531,GOOGL
2015-04-22,-0.25,GOOGL
2015-04-22,-0.25,GOOGL
2015-04-21,-0.0772,GOOGL
2015-04-21,-0.0772,GOOGL
2015-04-21,0.4215,GOOGL
2015-04-20,0,GOOGL
2015-04-20,-0.128,GOOGL
2015-04-17,0,GOOGL
2015-04-17,0.5859,GOOGL
2015-04-17,0.6124,GOOGL
2015-04-17,0.7269,GOOGL
2015-04-16,0.296,GOOGL
2015-04-16,-0.296,GOOGL
2015-04-16,-0.296,GOOGL
2015-04-16,0.4854,GOOGL
2015-04-15,-0.6369,GOOGL
2015-04-15,0.1779,GOOGL
2015-04-15,0,GOOGL
2015-04-15,0.1779,GOOGL
2015-04-15,0.5994,GOOGL
2015-04-15,0.5994,GOOGL
2015-04-15,0.5994,GOOGL
2015-04-15,0.1779,GOOGL
2015-04-15,0.4588,GOOGL
2015-04-15,0.4588,GOOGL
2015-04-14,-0.6597,GOOGL
2015-04-14,-0.7096,GOOGL
2015-04-14,0.3818,GOOGL
2015-04-14,0.3818,GOOGL
2015-04-14,0.2023,GOOGL
2015-04-14,0.4939,GOOGL
2015-04-08,-0.3182,GOOGL
2015-04-08,-0.3182,GOOGL
2015-04-08,-0.3182,GOOGL
2015-04-06,0.4019,GOOGL
2015-04-06,0.4019,GOOGL
2015-04-06,0.0258,GOOGL
2015-04-06,0.0258,GOOGL
